payloadsize	encrypt	decrypt
7730	0.0007980740	0.0006873790
7740	0.0007933970	0.0006873800
7750	0.0007932740	0.0006868090
7760	0.0007936450	0.0006869680
7770	0.0007937900	0.0006871110
7780	0.0007933400	0.0006872120
7790	0.0007930970	0.0006870980
7800	0.0007933990	0.0006870130
7810	0.0007943130	0.0006876640
7820	0.0007934260	0.0006868780
7830	0.0007934570	0.0006871140
7840	0.0007936840	0.0006873430
7850	0.0007937280	0.0006878930
7860	0.0007938930	0.0006882190
7870	0.0007982180	0.0006879020
7880	0.0007940110	0.0006879090
7890	0.0007937110	0.0006883160
7900	0.0007949390	0.0006893680
7910	0.0007953220	0.0006890240
7920	0.0007942080	0.0006886860
7930	0.0007944700	0.0006892460
7940	0.0007944660	0.0006895450
7950	0.0007953550	0.0006895080
7960	0.0007957550	0.0006901450
7970	0.0007962640	0.0006890240
7980	0.0007960050	0.0006891710
7990	0.0007952660	0.0006890560
8000	0.0007952290	0.0006937670
8010	0.0007958020	0.0006896630
8020	0.0007947580	0.0006891260
8030	0.0007950970	0.0006898880
8040	0.0007951550	0.0006901180
8050	0.0007948990	0.0006904580
8060	0.0007963030	0.0006898610
8070	0.0007960960	0.0006903710
8080	0.0007954720	0.0006906120
8090	0.0007963780	0.0006907650
8100	0.0007970840	0.0006907290
8110	0.0007952100	0.0006909160
8120	0.0007955970	0.0006907340
8130	0.0007957800	0.0006911210
8140	0.0008000860	0.0006912620
8150	0.0007965270	0.0006915160
8160	0.0007966910	0.0006917190
8170	0.0007963790	0.0006913800
8180	0.0007971560	0.0006921700
8190	0.0007987670	0.0006930040
8200	0.0007981460	0.0006929160
8210	0.0007984040	0.0006934090
8220	0.0007979640	0.0006927770
8230	0.0007982420	0.0006929520
