payloadsize	encrypt	decrypt
4960	0.0061663000	0.0045013200
4970	0.0061579000	0.0045009400
4980	0.0061743700	0.0045013000
4990	0.0061643800	0.0044956200
5000	0.0061620900	0.0044965700
5010	0.0061643600	0.0045031700
5020	0.0061554600	0.0044951100
5030	0.0061563200	0.0045096700
5040	0.0061774700	0.0045052300
5050	0.0061713900	0.0045002100
5060	0.0061556200	0.0044958000
5070	0.0061661800	0.0045015000
5080	0.0061652300	0.0045030200
5090	0.0061547600	0.0045035300
5100	0.0061702000	0.0045007000
5110	0.0061615300	0.0044998600
5120	0.0061629000	0.0045061700
5130	0.0061781500	0.0045044400
5140	0.0061713100	0.0045127600
5150	0.0061615800	0.0045045000
5160	0.0061649400	0.0045027100
5170	0.0061620800	0.0045042400
5180	0.0061724100	0.0045060800
5190	0.0061629500	0.0044987900
5200	0.0061558000	0.0044983000
5210	0.0061657200	0.0045081900
5220	0.0061627400	0.0045097200
5230	0.0061695600	0.0045098400
5240	0.0061781600	0.0045148300
5250	0.0061712300	0.0045047000
5260	0.0061721800	0.0045062700
5270	0.0061685300	0.0045016500
5280	0.0061766000	0.0045096600
5290	0.0061546900	0.0044982000
5300	0.0061714200	0.0045089300
5310	0.0061621800	0.0045081000
5320	0.0061772800	0.0045151600
5330	0.0062089600	0.0045237000
5340	0.0061845200	0.0045194600
5350	0.0061742600	0.0045065600
5360	0.0061770900	0.0045023400
5370	0.0061732600	0.0045095900
5380	0.0061697800	0.0045026800
5390	0.0061823900	0.0045160800
5400	0.0061701000	0.0045162300
5410	0.0061815100	0.0045117300
5420	0.0061825700	0.0045214000
5430	0.0061688300	0.0045080500
5440	0.0061710800	0.0045130500
5450	0.0061759300	0.0045130200
5460	0.0061825100	0.0045091500
5470	0.0061685100	0.0045005200
5480	0.0061712900	0.0045158600
5490	0.0061684000	0.0045141600
5500	0.0061814800	0.0045195100
5510	0.0061859800	0.0045159600
5520	0.0061809900	0.0045121300
5530	0.0061689500	0.0045096700
5540	0.0061676200	0.0045125200
5550	0.0061792700	0.0045202600
5560	0.0061834500	0.0045142200
5570	0.0061761500	0.0045138800
5580	0.0061799100	0.0045128400
5590	0.0061689300	0.0045148500
5600	0.0061874500	0.0045185400
5610	0.0061863700	0.0045311900
5620	0.0061781000	0.0045139300
5630	0.0061777500	0.0045206600
5640	0.0061739700	0.0045127600
5650	0.0061795400	0.0045141000
5660	0.0061751700	0.0045109300
5670	0.0061829500	0.0045198300
5680	0.0061789800	0.0045159300
5690	0.0061882200	0.0045176700
5700	0.0061949100	0.0045239600
5710	0.0061805300	0.0045218800
5720	0.0061778300	0.0045110700
5730	0.0061721900	0.0045186300
5740	0.0061810000	0.0045164400
5750	0.0061731800	0.0045132600
5760	0.0061779000	0.0045187200
5770	0.0061891600	0.0045235700
5780	0.0061830100	0.0045250600
5790	0.0061910800	0.0045272400
5800	0.0062109800	0.0045370200
5810	0.0061819700	0.0045200600
5820	0.0061939800	0.0045259200
5830	0.0061824600	0.0045240000
5840	0.0061812600	0.0045124000
5850	0.0061840700	0.0045246600
5860	0.0061895800	0.0045265600
5870	0.0061828800	0.0045325900
5880	0.0061899300	0.0045341600
5890	0.0061956700	0.0045343100
5900	0.0061772600	0.0045173700
5910	0.0061800900	0.0045176900
5920	0.0061781700	0.0045222800
5930	0.0061781200	0.0045274100
5940	0.0061875200	0.0045218200
5950	0.0061770400	0.0045201500
5960	0.0061899300	0.0045174000
5970	0.0061809700	0.0045294900
5980	0.0062034900	0.0045264000
5990	0.0061958100	0.0045306200
6000	0.0061876300	0.0045267200
6010	0.0061856500	0.0045334200
6020	0.0061801300	0.0045223700
6030	0.0061823900	0.0045232200
6040	0.0061811200	0.0045248900
6050	0.0061968000	0.0045327000
6060	0.0061875600	0.0045354800
6070	0.0061979800	0.0045289300
6080	0.0062087700	0.0045442300
6090	0.0061941000	0.0045304500
6100	0.0061904100	0.0045290300
6110	0.0061890700	0.0045334900
6120	0.0061927700	0.0045251000
6130	0.0061834100	0.0045325600
6140	0.0061848700	0.0045225000
6150	0.0061917000	0.0045332400
6160	0.0061963900	0.0045301700
6170	0.0062051900	0.0045560700
6180	0.0061953800	0.0045401500
6190	0.0061937600	0.0045282300
6200	0.0061952100	0.0045368700
6210	0.0062009600	0.0045668700
6220	0.0061894800	0.0045309700
6230	0.0062166900	0.0045353100
6240	0.0062046500	0.0045358000
6250	0.0061970300	0.0045290600
6260	0.0062146600	0.0045380900
6270	0.0062148800	0.0045321000
6280	0.0061934900	0.0045439400
6290	0.0061930100	0.0045368900
6300	0.0062069000	0.0045362200
6310	0.0061982400	0.0045364200
6320	0.0062244500	0.0045461700
6330	0.0062013100	0.0045531300
6340	0.0062001600	0.0045334300
6350	0.0061989400	0.0045378800
6360	0.0062034100	0.0045355900
6370	0.0061846800	0.0045262300
6380	0.0062123800	0.0045343500
6390	0.0061989900	0.0045521400
6400	0.0062028600	0.0045366200
6410	0.0061918300	0.0045315200
6420	0.0062153500	0.0045390300
6430	0.0061982300	0.0045540400
6440	0.0062003800	0.0045352400
6450	0.0062158900	0.0045463600
6460	0.0062000200	0.0045385100
6470	0.0061991700	0.0045347200
6480	0.0062092300	0.0045417100
6490	0.0062013700	0.0045371800
6500	0.0061975800	0.0045372200
6510	0.0062015600	0.0045406400
6520	0.0062026900	0.0045428500
6530	0.0062214600	0.0045470600
6540	0.0062151300	0.0045446700
6550	0.0062016400	0.0045377700
6560	0.0061934300	0.0045339400
6570	0.0061981100	0.0045399600
6580	0.0061986800	0.0045381000
6590	0.0062034400	0.0045425400
6600	0.0062094100	0.0045445400
6610	0.0061977900	0.0045418400
6620	0.0062181800	0.0045460400
6630	0.0062143100	0.0045530300
6640	0.0062094000	0.0045426600
6650	0.0062022800	0.0045422500
6660	0.0061994000	0.0045422400
6670	0.0061958300	0.0045406400
6680	0.0062104700	0.0045461800
6690	0.0062004300	0.0045464700
6700	0.0062088300	0.0045485300
6710	0.0062049700	0.0045425800
6720	0.0062320500	0.0045564900
6730	0.0062435600	0.0045645400
6740	0.0062045100	0.0045406800
6750	0.0062195400	0.0045464500
6760	0.0062195500	0.0045505700
6770	0.0062153100	0.0045546400
6780	0.0062038200	0.0045471700
6790	0.0062119800	0.0045506800
6800	0.0062053500	0.0045504400
6810	0.0062096600	0.0045503300
6820	0.0062350100	0.0045736300
6830	0.0062152900	0.0045489200
6840	0.0062111700	0.0045425700
6850	0.0062089700	0.0045512700
6860	0.0062053900	0.0045480200
